49;Ванкувер;Британская Колумбия;Канада;-8;America/Vancouver
1651;Северский;Краснодарский край;Россия;3;Europe/Moscow
299;Славянск-на-Кубани;Краснодарский край;Россия;3;Europe/Moscow
1509;Советский;Краснодарский край;Россия;3;Europe/Moscow
306;Сочи;Краснодарский край;Россия;3;Europe/Moscow
403;Староминская;Краснодарский край;Россия;3;Europe/Moscow
404;Старощербиновская;Краснодарский край;Россия;3;Europe/Moscow
327;Темрюк;Краснодарский край;Россия;3;Europe/Moscow
338;Туапсе;Краснодарский край;Россия;3;Europe/Moscow
348;Успенское;Краснодарский край;Россия;3;Europe/Moscow
170;Курск;Курская область;Россия;3;Europe/Moscow
68;Всеволожск;Ленинградская область;Россия;3;Europe/Moscow
69;Выборг;Ленинградская область;Россия;3;Europe/Moscow
1566;Каменногорск;Ленинградская область;Россия;3;Europe/Moscow
144;Кировск (Л);Ленинградская область;Россия;3;Europe/Moscow
155;Колпино;Ленинградская область;Россия;3;Europe/Moscow
180;Луга;Ленинградская область;Россия;3;Europe/Moscow
256;Пикалёво;Ленинградская область;Россия;3;Europe/Moscow
1612;Грязи;Липецкая область;Россия;3;Europe/Moscow
176;Липецк;Липецкая область;Россия;3;Europe/Moscow
125;Йошкар-Ола;Марий-Эл;Россия;3;Europe/Moscow
1607;Ардатов;Мордовия;Россия;3;Europe/Moscow
13;Атюрьево;Мордовия;Россия;3;Europe/Moscow
1551;Атяшево;Мордовия;Россия;3;Europe/Moscow
1552;Большие Березники;Мордовия;Россия;3;Europe/Moscow
35;Большое Игнатово;Мордовия;Россия;3;Europe/Moscow
1564;Инсар;Мордовия;Россия;3;Europe/Moscow
152;Ковылкино;Мордовия;Россия;3;Europe/Moscow
163;Краснослободск;Мордовия;Россия;3;Europe/Moscow
1588;Ромоданово;Мордовия;Россия;3;Europe/Moscow
278;Рузаевка;Мордовия;Россия;3;Europe/Moscow
286;Саранск;Мордовия;Россия;3;Europe/Moscow
372;Чамзинка;Мордовия;Россия;3;Europe/Moscow
111;Зеленоград;Москва;Россия;3;Europe/Moscow
201;Москва;Москва;Россия;3;Europe/Moscow
1610;Воскресенск;Московская область;Россия;3;Europe/Moscow
85;Дедовск;Московская область;Россия;3;Europe/Moscow
88;Дмитров;Московская область;Россия;3;Europe/Moscow
92;Долгопрудный;Московская область;Россия;3;Europe/Moscow
1476;Домодедово;Московская область;Россия;3;Europe/Moscow
95;Дубна;Московская область;Россия;3;Europe/Moscow
411;Егорьевск;Московская область;Россия;3;Europe/Moscow
104;Жуковский;Московская область;Россия;3;Europe/Moscow
116;Ивантеевка;Московская область;Россия;3;Europe/Moscow
122;Истра;Московская область;Россия;3;Europe/Moscow
135;Кашира;Московская область;Россия;3;Europe/Moscow
418;Климовск;Московская область;Россия;3;Europe/Moscow
148;Клин;Московская область;Россия;3;Europe/Moscow
154;Коломна;Московская область;Россия;3;Europe/Moscow
158;Королёв;Московская область;Россия;3;Europe/Moscow
422;Луховицы;Московская область;Россия;3;Europe/Moscow
1619;Лыткарино;Московская область;Россия;3;Europe/Moscow
204;Мытищи;Московская область;Россия;3;Europe/Moscow
426;Одинцово;Московская область;Россия;3;Europe/Moscow
1622;Озёры;Московская область;Россия;3;Europe/Moscow
243;Орехово-Зуево;Московская область;Россия;3;Europe/Moscow
246;Павловская Слобода;Московская область;Россия;3;Europe/Moscow
1481;Павловский Посад;Московская область;Россия;3;Europe/Moscow
253;Пески;Московская область;Россия;3;Europe/Moscow
259;Подольск;Московская область;Россия;3;Europe/Moscow
440;Пущино;Московская область;Россия;3;Europe/Moscow
270;Раменское;Московская область;Россия;3;Europe/Moscow
1513;Реутов;Московская область;Россия;3;Europe/Moscow
297;Серпухов;Московская область;Россия;3;Europe/Moscow
304;Солнечногорск;Московская область;Россия;3;Europe/Moscow
309;Ступино;Московская область;Россия;3;Europe/Moscow
313;Сходня;Московская область;Россия;3;Europe/Moscow
337;Троицк;Московская область;Россия;3;Europe/Moscow
430;Фрязино;Московская область;Россия;3;Europe/Moscow
431;Химки;Московская область;Россия;3;Europe/Moscow
1639;Шахматово;Московская область;Россия;3;Europe/Moscow
1632;Электросталь;Московская область;Россия;3;Europe/Moscow
658;Яхрома;Московская область;Россия;3;Europe/Moscow
7;Апатиты;Мурманская область;Россия;3;Europe/Moscow
70;Гаджиево;Мурманская область;Россия;3;Europe/Moscow
1470;Кандалакша;Мурманская область;Россия;3;Europe/Moscow
146;Кировск (М);Мурманская область;Россия;3;Europe/Moscow
202;Мурманск;Мурманская область;Россия;3;Europe/Moscow
240;Оленья Губа;Мурманская область;Россия;3;Europe/Moscow
261;Полярные Зори;Мурманская область;Россия;3;Europe/Moscow
1469;Полярный;Мурманская область;Россия;3;Europe/Moscow
294;Североморск;Мурманская область;Россия;3;Europe/Moscow
1550;Арзамас;Нижегородская область;Россия;3;Europe/Moscow
34;Большая Ельня;Нижегородская область;Россия;3;Europe/Moscow
37;Бор;Нижегородская область;Россия;3;Europe/Moscow
1475;Дзержинск (Н);Нижегородская область;Россия;3;Europe/Moscow
1565;Ичалки;Нижегородская область;Россия;3;Europe/Moscow
1575;Кочкурово;Нижегородская область;Россия;3;Europe/Moscow
1538;Лукоянов;Нижегородская область;Россия;3;Europe/Moscow
216;Нижний Новгород;Нижегородская область;Россия;3;Europe/Moscow
288;Саров;Нижегородская область;Россия;3;Europe/Moscow
55;Великий Новгород;Новгородская область;Россия;3;Europe/Moscow
307;Старая Русса;Новгородская область;Россия;3;Europe/Moscow
242;Орёл;Орловская область;Россия;3;Europe/Moscow
250;Пенза;Пензенская область;Россия;3;Europe/Moscow
54;Великие Луки;Псковская область;Россия;3;Europe/Moscow
117;Идрица;Псковская область;Россия;3;Europe/Moscow
1577;Красногородск;Псковская область;Россия;3;Europe/Moscow
223;Новоржев;Псковская область;Россия;3;Europe/Moscow
265;Псков;Псковская область;Россия;3;Europe/Moscow
2;Азов;Ростовская область;Россия;3;Europe/Moscow
1456;Константиновск;Ростовская область;Россия;3;Europe/Moscow
228;Новочеркасск;Ростовская область;Россия;3;Europe/Moscow
1457;Новошахтинск;Ростовская область;Россия;3;Europe/Moscow
277;Ростов-на-Дону;Ростовская область;Россия;3;Europe/Moscow
316;Таганрог;Ростовская область;Россия;3;Europe/Moscow
281;Рязань;Рязанская область;Россия;3;Europe/Moscow
1505;Сасово;Рязанская область;Россия;3;Europe/Moscow
141;Кинель;Самарская область;Россия;3;Europe/Samara
226;Новоспасский;Самарская область;Россия;3;Europe/Samara
1661;Приволжье;Самарская область;Россия;3;Europe/Samara
282;Самара;Самарская область;Россия;3;Europe/Samara
314;Сызрань;Самарская область;Россия;3;Europe/Samara
332;Тольятти;Самарская область;Россия;3;Europe/Samara
1497;Ломоносов;Санкт-Петербург;Россия;3;Europe/Moscow
451;Петродворец;Санкт-Петербург;Россия;3;Europe/Moscow
1496;Пушкин;Санкт-Петербург;Россия;3;Europe/Moscow
285;Санкт-Петербург;Санкт-Петербург;Россия;3;Europe/Moscow
1500;Балаково;Саратовская область;Россия;3;Europe/Volgograd
287;Саратов;Саратовская область;Россия;3;Europe/Volgograd
61;Владикавказ;Северная Осетия  Алания;Россия;3;Europe/Moscow
300;Смоленск;Смоленская область;Россия;3;Europe/Moscow
219;Новоалександровск;Ставропольский край;Россия;3;Europe/Moscow
266;Пятигорск;Ставропольский край;Россия;3;Europe/Moscow
319;Тамбов;Тамбовская область;Россия;3;Europe/Moscow
1549;Азнакаево;Татарстан;Россия;3;Europe/Moscow
99;Елабуга;Татарстан;Россия;3;Europe/Moscow
127;Казань;Татарстан;Россия;3;Europe/Moscow
206;Набережные Челны;Татарстан;Россия;3;Europe/Moscow
215;Нижнекамск;Татарстан;Россия;3;Europe/Moscow
384;Чистополь;Татарстан;Россия;3;Europe/Moscow
405;Бежецк;Тверская область;Россия;3;Europe/Moscow
140;Кимры;Тверская область;Россия;3;Europe/Moscow
273;Ржев;Тверская область;Россия;3;Europe/Moscow
324;Тверь;Тверская область;Россия;3;Europe/Moscow
334;Торжок;Тверская область;Россия;3;Europe/Moscow
295;Северск;Томская область;Россия;3;Asia/Novosibirsk
333;Томск;Томская область;Россия;3;Asia/Novosibirsk
1467;Алексин;Тульская область;Россия;3;Europe/Moscow
654;Новомосковск;Тульская область;Россия;3;Europe/Moscow
653;Одоев;Тульская область;Россия;3;Europe/Moscow
682;Суворов;Тульская область;Россия;3;Europe/Moscow
754;Тёплое;Тульская область;Россия;3;Europe/Moscow
339;Тула;Тульская область;Россия;3;Europe/Moscow
1308;Узловая;Тульская область;Россия;3;Europe/Moscow
652;Щёкино;Тульская область;Россия;3;Europe/Moscow
172;Кызыл;Тыва (Тува);Россия;3;Asia/Krasnoyarsk
119;Ижевск;Удмуртия;Россия;3;Europe/Samara
20;Базарный Сызган;Ульяновская область;Россия;3;Europe/Moscow
1449;Димитровград;Ульяновская область;Россия;3;Europe/Moscow
1448;Сенгилей;Ульяновская область;Россия;3;Europe/Moscow
346;Ульяновск;Ульяновская область;Россия;3;Europe/Moscow
80;Грозный;Чечня;Россия;3;Europe/Moscow
373;Чебоксары;Чувашия;Россия;3;Europe/Moscow
40;Борок;Ярославская область;Россия;3;Europe/Moscow
251;Переславль-Залесский;Ярославская область;Россия;3;Europe/Moscow
340;Тутаев;Ярославская область;Россия;3;Europe/Moscow
342;Углич;Ярославская область;Россия;3;Europe/Moscow
399;Ярославль;Ярославская область;Россия;3;Europe/Moscow
1452;Бердзор;;~;4;Asia/Yerevan
1454;Степанакерт;;~;4;Asia/Yerevan
1453;Шуши;;~;4;Asia/Yerevan
21;Баку;;Азербайджан;4;Asia/Baku
1554;Барда;;Азербайджан;4;Asia/Baku
1585;Мингечаур;;Азербайджан;4;Asia/Baku
1511;Сумгаит;;Азербайджан;4;Asia/Baku
1532;Арташат;;Армения;4;Asia/Yerevan
48;Ванадзор;;Армения;4;Asia/Yerevan
82;Гюмри;;Армения;4;Asia/Yerevan
100;Ереван;;Армения;4;Asia/Yerevan
230;Ноемберян;;Армения;4;Asia/Yerevan
268;Раздан;;Армения;4;Asia/Yerevan
394;Эчмиадзин;;Армения;4;Asia/Yerevan
14;Ахалгори;;Грузия;4;Asia/Tbilisi
1466;Ахалкалаки;;Грузия;4;Asia/Tbilisi
15;Ахмета;;Грузия;4;Asia/Tbilisi
19;Багдади;;Грузия;4;Asia/Tbilisi
23;Батуми;;Грузия;4;Asia/Tbilisi
38;Боржоми;;Грузия;4;Asia/Tbilisi
75;Гори;;Грузия;4;Asia/Tbilisi
1561;Гурджаани;;Грузия;4;Asia/Tbilisi
1562;Дедоплисцкаро;;Грузия;4;Asia/Tbilisi
113;Зугдиди;;Грузия;4;Asia/Tbilisi
131;Карели;;Грузия;4;Asia/Tbilisi
1567;Каспи;;Грузия;4;Asia/Tbilisi
171;Кутаиси;;Грузия;4;Asia/Tbilisi
1583;Ланчхути;;Грузия;4;Asia/Tbilisi
420;Лентехи;;Грузия;4;Asia/Tbilisi
238;Озургети;;Грузия;4;Asia/Tbilisi
262;Поти;;Грузия;4;Asia/Tbilisi
279;Рустави;;Грузия;4;Asia/Tbilisi
1592;Сигнахи;;Грузия;4;Asia/Tbilisi
312;Сухуми;;Грузия;4;Asia/Tbilisi
323;Тбилиси;;Грузия;4;Asia/Tbilisi
325;Телави;;Грузия;4;Asia/Tbilisi
329;Тианети;;Грузия;4;Asia/Tbilisi
1535;Хашури;;Грузия;4;Asia/Tbilisi
1601;Хелвачаури;;Грузия;4;Asia/Tbilisi
369;Цхалтубо;;Грузия;4;Asia/Tbilisi
370;Цхинвали;;Грузия;4;Asia/Tbilisi
387;Чхороцку;;Грузия;4;Asia/Tbilisi
1510;Актау;Мангистауская область;Казахстан;5;Asia/Aqtau
1555;Белорецк;Башкортостан;Россия;5;Asia/Yekaterinburg
428;Стерлитамак;Башкортостан;Россия;5;Asia/Yekaterinburg
345;Улукулево;Башкортостан;Россия;5;Asia/Yekaterinburg
354;Уфа;Башкортостан;Россия;5;Asia/Yekaterinburg
388;Шафраново;Башкортостан;Россия;5;Asia/Yekaterinburg
169;Курган;Курганская область;Россия;5;Asia/Yekaterinburg
1504;Оренбург;Оренбургская область;Россия;5;Asia/Yekaterinburg
244;Орск;Оренбургская область;Россия;5;Asia/Yekaterinburg
30;Березники;Пермский край;Россия;5;Asia/Yekaterinburg
1556;Большая Сосновка;Пермский край;Россия;5;Asia/Yekaterinburg
1557;Большая Уса;Пермский край;Россия;5;Asia/Yekaterinburg
81;Губаха;Пермский край;Россия;5;Asia/Yekaterinburg
91;Добрянка;Пермский край;Россия;5;Asia/Yekaterinburg
109;Звёздный;Пермский край;Россия;5;Asia/Yekaterinburg
1617;Карагай;Пермский край;Россия;5;Asia/Yekaterinburg
1464;Кизел;Пермский край;Россия;5;Asia/Yekaterinburg
162;Краснокамск;Пермский край;Россия;5;Asia/Yekaterinburg
1460;Кудымкар;Пермский край;Россия;5;Asia/Yekaterinburg
1581;Куеда;Пермский край;Россия;5;Asia/Yekaterinburg
1582;Кунгур;Пермский край;Россия;5;Asia/Yekaterinburg
1621;Нытва;Пермский край;Россия;5;Asia/Yekaterinburg
239;Октябрьский;Пермский край;Россия;5;Asia/Yekaterinburg
1502;Очёр;Пермский край;Россия;5;Asia/Yekaterinburg
1624;Ошья;Пермский край;Россия;5;Asia/Yekaterinburg
1506;Павловский;Пермский край;Россия;5;Asia/Yekaterinburg
252;Пермь;Пермский край;Россия;5;Asia/Yekaterinburg
1591;Сива;Пермский край;Россия;5;Asia/Yekaterinburg
1594;Соликамск;Пермский край;Россия;5;Asia/Yekaterinburg
371;Чайковский;Пермский край;Россия;5;Asia/Yekaterinburg
381;Чернушка;Пермский край;Россия;5;Asia/Yekaterinburg
1503;Чусовой;Пермский край;Россия;5;Asia/Yekaterinburg
98;Екатеринбург;Свердловская область;Россия;5;Asia/Yekaterinburg
120;Ирбит;Свердловская область;Россия;5;Asia/Yekaterinburg
1568;Качканар;Свердловская область;Россия;5;Asia/Yekaterinburg
217;Нижний Тагил;Свердловская область;Россия;5;Asia/Yekaterinburg
424;Новоуральск;Свердловская область;Россия;5;Asia/Yekaterinburg
425;Первоуральск;Свердловская область;Россия;5;Asia/Yekaterinburg
105;Заводоуковск;Тюменская область;Россия;5;Asia/Yekaterinburg
124;Ишим;Тюменская область;Россия;5;Asia/Yekaterinburg
1618;Когалым;Тюменская область;Россия;5;Asia/Yekaterinburg
1620;Надым;Тюменская область;Россия;5;Asia/Yekaterinburg
214;Нижневартовск;Тюменская область;Россия;5;Asia/Yekaterinburg
229;Новый Уренгой;Тюменская область;Россия;5;Asia/Yekaterinburg
232;Ноябрьск;Тюменская область;Россия;5;Asia/Yekaterinburg
1626;Пыть-Ях;Тюменская область;Россия;5;Asia/Yekaterinburg
1627;Радужный;Тюменская область;Россия;5;Asia/Yekaterinburg
311;Сургут;Тюменская область;Россия;5;Asia/Yekaterinburg
429;Тарко-Сале;Тюменская область;Россия;5;Asia/Yekaterinburg
331;Тобольск;Тюменская область;Россия;5;Asia/Yekaterinburg
341;Тюмень;Тюменская область;Россия;5;Asia/Yekaterinburg
361;Ханты-Мансийск;Тюменская область;Россия;5;Asia/Yekaterinburg
398;Ялуторовск;Тюменская область;Россия;5;Asia/Yekaterinburg
1573;Копейск;Челябинская область;Россия;5;Asia/Yekaterinburg
187;Магнитогорск;Челябинская область;Россия;5;Asia/Yekaterinburg
195;Миасс;Челябинская область;Россия;5;Asia/Yekaterinburg
237;Озёрск;Челябинская область;Россия;5;Asia/Yekaterinburg
289;Сатка;Челябинская область;Россия;5;Asia/Yekaterinburg
301;Снежинск;Челябинская область;Россия;5;Asia/Yekaterinburg
374;Челябинск;Челябинская область;Россия;5;Asia/Yekaterinburg
17;Ашхабад;;Туркмения;5;Asia/Ashgabat
84;Дашогуз;;Туркмения;5;Asia/Ashgabat
1462;Туркменабад;;Туркмения;5;Asia/Ashgabat
107;Зарафшан;;Узбекистан;5;Asia/Tashkent
1635;Зафарабад;;Узбекистан;5;Asia/Tashkent
207;Навои;;Узбекистан;5;Asia/Tashkent
283;Самарканд;;Узбекистан;5;Asia/Tashkent
322;Ташкент;;Узбекистан;5;Asia/Tashkent
1634;Учкудук;;Узбекистан;5;Asia/Tashkent
1468;Алматы;;Казахстан;6;Asia/Almaty
1512;Астана;;Казахстан;6;Asia/Almaty
130;Караганда;Карагандинская область;Казахстан;6;Asia/Almaty
153;Кокшетау;Акмолинская область;Казахстан;6;Asia/Almaty
1580;Ленинск;;Казахстан;6;Asia/Almaty
1485;Темиртау;Карагандинская область;Казахстан;6;Asia/Almaty
350;Усть-Каменогорск;Восточно-Казахстанская область;Казахстан;6;Asia/Almaty
77;Горно-Алтайск;Алтай;Россия;6;Asia/Omsk
22;Барнаул;Алтайский край;Россия;6;Asia/Omsk
137;Кемерово;Кемеровская область;Россия;6;Asia/Novokuznetsk
221;Новокузнецк;Кемеровская область;Россия;6;Asia/Novokuznetsk
1396;Прокопьевск;Кемеровская область;Россия;6;Asia/Novokuznetsk
28;Бердск;Новосибирская область;Россия;6;Asia/Novosibirsk
168;Куйбышев;Новосибирская область;Россия;6;Asia/Novosibirsk
225;Новосибирск;Новосибирская область;Россия;6;Asia/Novosibirsk
241;Омск;Омская область;Россия;6;Asia/Omsk
1474;Абан;Красноярский край;Россия;7;Asia/Krasnoyarsk
39;Бородино;Красноярский край;Россия;7;Asia/Krasnoyarsk
1313;Емельяново;Красноярский край;Россия;7;Asia/Krasnoyarsk
412;Енисейск;Красноярский край;Россия;7;Asia/Krasnoyarsk
1659;Есаулово;Красноярский край;Россия;7;Asia/Krasnoyarsk
414;Железногорск;Красноярский край;Россия;7;Asia/Krasnoyarsk
415;Заозёрный;Красноярский край;Россия;7;Asia/Krasnoyarsk
108;Зареченка;Красноярский край;Россия;7;Asia/Krasnoyarsk
110;Зеленогорск;Красноярский край;Россия;7;Asia/Krasnoyarsk
413;Канск;Красноярский край;Россия;7;Asia/Krasnoyarsk
1477;Кодинск;Красноярский край;Россия;7;Asia/Krasnoyarsk
1478;Краснотуранск;Красноярский край;Россия;7;Asia/Krasnoyarsk
164;Красноярск;Красноярский край;Россия;7;Asia/Krasnoyarsk
1658;Лесосибирск;Красноярский край;Россия;7;Asia/Krasnoyarsk
1479;Минусинск;Красноярский край;Россия;7;Asia/Krasnoyarsk
1480;Никольское;Красноярский край;Россия;7;Asia/Krasnoyarsk
231;Норильск;Красноярский край;Россия;7;Asia/Krasnoyarsk
1395;Тюльково;Красноярский край;Россия;7;Asia/Krasnoyarsk
356;Филимоново;Красноярский край;Россия;7;Asia/Krasnoyarsk
382;Чечеул;Красноярский край;Россия;7;Asia/Krasnoyarsk
390;Шушенское;Красноярский край;Россия;7;Asia/Krasnoyarsk
1;Абакан;Хакасия;Россия;7;Asia/Krasnoyarsk
344;Улан-Удэ;Бурятия;Россия;8;Asia/Irkutsk
6;Ангарск;Иркутская область;Россия;8;Asia/Irkutsk
43;Братск;Иркутская область;Россия;8;Asia/Irkutsk
457;Железногорск-Илимский;Иркутская область;Россия;8;Asia/Irkutsk
101;Железнодорожный;Иркутская область;Россия;8;Asia/Irkutsk
121;Иркутск;Иркутская область;Россия;8;Asia/Irkutsk
317;Тайшет;Иркутская область;Россия;8;Asia/Irkutsk
347;Усолье-Сибирское;Иркутская область;Россия;8;Asia/Irkutsk
349;Усть-Илимск;Иркутская область;Россия;8;Asia/Irkutsk
351;Усть-Кут;Иркутская область;Россия;8;Asia/Irkutsk
352;Усть-Ордынский;Иркутская область;Россия;8;Asia/Irkutsk
448;Черемхово;Иркутская область;Россия;8;Asia/Irkutsk
660;Шелехов;Иркутская область;Россия;8;Asia/Irkutsk
33;Благовещенск;Амурская область;Россия;9;Asia/Yakutsk
1590;Свободный;Амурская область;Россия;9;Asia/Yakutsk
385;Чита;Забайкальский край;Россия;9;Asia/Yakutsk
397;Якутск;Саха (Якутия);Россия;9;Asia/Yakutsk
193;Мельбурн;;Австралия;10;Australia/Melbourne
32;Биробиджан;Еврейская АО;Россия;10;Asia/Vladivostok
60;Владивосток;Приморский край;Россия;10;Asia/Vladivostok
211;Находка;Приморский край;Россия;10;Asia/Vladivostok
396;Южно-Сахалинск;Сахалинская область;Россия;10;Asia/Sakhalin
358;Хабаровск;Хабаровский край;Россия;10;Asia/Vladivostok
255;Петропавловск-Камчатский;Камчатский край;Россия;11;Asia/Kamchatka
185;Магадан;Магаданская область;Россия;11;Asia/Magadan
4;Анадырь;Чукотский АО;Россия;11;Asia/Anadyr
441;unknown;;;;
449;сборная;;;;